title,slug,year,coords,theme,era,region,notable_figures,visuals,prompt,image_url,difficulty,source,id,country,city,notable_location,era_id,theme_id,caption,wiki_url,broad_era
The abdication of Tsar Nicholas II and end of the Russian Empire,the-abdication-of-tsar-nicholas-ii-and-end-of-the-russian-empire,1917,"[59.9343, 30.3351]",foundational political moments,World War I,Europe,"Nicholas II, Alexandra Feodorovna, Alexei Nikolaevich",Tsar Nicholas II signing the abdication document; imperial guards in period uniforms; Russian nobility in early 20th-century attire; the Winter Palace in the background; a somber gathering of officials,"A highly detailed, photo-realistic image of The abdication of Tsar Nicholas II and end of the Russian Empire as it might have appeared at the time. The scene includes Tsar Nicholas II signing the abdication document, imperial guards in period uniforms, Russian nobility in early 20th-century attire, the Winter Palace in the background, and a somber gathering of officials, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-abdication-of-tsar-nicholas-ii-and-end-of-the-russian-empire.jpg,3,AI-generated based on historical records,6cd5c5d0-1ef1-4e46-8704-639bd052e92c,Russia,Petrograd,Winter Palace,22,2,"In March 1917, Tsar Nicholas II's abdication marked the end of over three centuries of Romanov rule, setting the stage for the Russian Revolution and the rise of the Soviet Union.",https://en.wikipedia.org/wiki/Abdication_of_Nicholas_II,7. Industrial Age
The eruption of Eyjafjallajökull disrupting European air travel,the-eruption-of-eyjafjallaj-kull-disrupting-european-air-travel,2010,"[63.633, -19.62]",natural disasters,European Union Era,Europe,,ash plume rising from Eyjafjallajökull volcano; grounded airplanes at European airports; passengers stranded in airport terminals; volcanic landscape with ice and ash; clouds of volcanic ash in the sky,"A highly detailed, photo-realistic image of The eruption of Eyjafjallajökull disrupting European air travel as it might have appeared at the time. The scene includes ash plume rising from Eyjafjallajökull volcano, grounded airplanes at European airports, passengers stranded in airport terminals, volcanic landscape with ice and ash, clouds of volcanic ash in the sky, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-eruption-of-eyjafjallaj-kull-disrupting-european-air-travel.jpg,3,AI-generated based on historical records,1990058d-3ecf-4987-88e8-ffe3cfc60773,Iceland,,Eyjafjallajökull volcano,26,7,"In 2010, the eruption of Eyjafjallajökull sent massive ash clouds into the atmosphere, leading to widespread air travel disruptions across Europe.",https://en.wikipedia.org/wiki/2010_eruptions_of_Eyjafjallaj%C3%B6kull,9. 21st Century
The liberation of Auschwitz by Soviet troops,the-liberation-of-auschwitz-by-soviet-troops,1945,"[50.0359, 19.1783]",wars & battles,World War II,Europe,Ivan Konev,Soviet soldiers entering the camp; barbed wire fences; watchtowers; liberated prisoners; snow-covered ground,"A highly detailed, photo-realistic image of The liberation of Auschwitz by Soviet troops as it might have appeared at the time. The scene includes Soviet soldiers entering the camp, barbed wire fences, watchtowers, liberated prisoners, and snow-covered ground, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-liberation-of-auschwitz-by-soviet-troops.jpg,3,AI-generated based on historical records,53545db8-168d-4c0b-a333-596c80bae236,Poland,,Auschwitz concentration camp,24,1,"In January 1945, Soviet troops liberated Auschwitz, revealing the horrors of the Holocaust to the world.",https://en.wikipedia.org/wiki/Auschwitz_concentration_camp,7. Industrial Age
The 1986 Chernobyl nuclear disaster and initial evacuation,the-1986-chernobyl-nuclear-disaster-and-initial-evacuation,1986,"[51.2769, 30.2219]",scientific & technological breakthroughs,Cold War Europe,Europe,"Valery Legasov, Mikhail Gorbachev",abandoned city streets; evacuation buses; nuclear plant in the background; people in Soviet-era clothing; emergency personnel with Geiger counters,"A highly detailed, photo-realistic image of The 1986 Chernobyl nuclear disaster and initial evacuation as it might have appeared at the time. The scene includes abandoned city streets, evacuation buses, nuclear plant in the background, people in Soviet-era clothing, emergency personnel with Geiger counters, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-1986-chernobyl-nuclear-disaster-and-initial-evacuation.jpg,3,AI-generated based on historical records,0332aba7-8069-4ee4-afe5-7885004caea1,Soviet Union,Pripyat,Chernobyl Nuclear Power Plant,25,6,"The Chernobyl disaster marked a pivotal moment in nuclear safety, leading to widespread evacuations and long-term environmental impacts.",https://en.wikipedia.org/wiki/Chernobyl_disaster,8. 20th Century
The 2015 Paris Agreement is signed at COP21,the-2015-paris-agreement-is-signed-at-cop21,2015,"[48.8566, 2.3522]",diplomacy & international relations,European Union Era,Europe,"Laurent Fabius, Ban Ki-moon, François Hollande",delegates signing documents; flags of participating countries; conference hall; large screens displaying climate data; international representatives in discussion,"A highly detailed, photo-realistic image of The 2015 Paris Agreement is signed at COP21 as it might have appeared at the time. The scene includes delegates signing documents, flags of participating countries, a conference hall, large screens displaying climate data, and international representatives in discussion, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-2015-paris-agreement-is-signed-at-cop21.jpg,3,AI-generated based on historical records,43ff3f3d-aa81-4afa-b1c3-a5f1e507e854,France,Paris,Le Bourget,26,3,"The Paris Agreement marked a pivotal moment in global climate diplomacy, uniting nations in a commitment to combat climate change and limit global warming.",https://en.wikipedia.org/wiki/Paris_Agreement,9. 21st Century
The 1972 Nixon visit to China marking a shift in Cold War diplomacy,the-1972-nixon-visit-to-china-marking-a-shift-in-cold-war-diplomacy,1972,"[39.9042, 116.4074]",diplomacy & international relations,People's Republic of China,Asia,"Richard Nixon,Zhou Enlai,Mao Zedong,Henry Kissinger",Richard Nixon shaking hands with Zhou Enlai; Great Hall of the People in Beijing; traditional Chinese architecture; delegates in 1970s suits; Chinese and American flags,"A highly detailed, photo-realistic image of The 1972 Nixon visit to China marking a shift in Cold War diplomacy as it might have appeared at the time. The scene includes Richard Nixon shaking hands with Zhou Enlai, Great Hall of the People in Beijing, traditional Chinese architecture, delegates in 1970s suits, Chinese and American flags, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-1972-nixon-visit-to-china-marking-a-shift-in-cold-war-diplomacy.jpg,3,AI-generated based on historical records,d715219a-faa0-4a31-923a-252680ab9854,China,Beijing,Great Hall of the People,42,3,"In 1972, President Nixon's visit to China marked a pivotal moment in Cold War diplomacy, opening the door to improved Sino-American relations.",https://en.wikipedia.org/wiki/1972_Nixon_visit_to_China,8. 20th Century
The Battle of the Somme,the-battle-of-the-somme,1916,"[50.02, 2.65]",wars & battles,World War I,Europe,"Douglas Haig,Henry Rawlinson,Ferdinand Foch",trenches filled with soldiers; artillery fire and explosions; biplanes flying overhead; barbed wire and no man's land; medics attending to the wounded,"A highly detailed, photo-realistic image of The Battle of the Somme as it might have appeared at the time. The scene includes trenches filled with soldiers, artillery fire and explosions, biplanes flying overhead, barbed wire and no man's land, and medics attending to the wounded, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-battle-of-the-somme.jpg,3,AI-generated based on historical records,226de694-1f56-42d0-b838-7a413dce7e26,France,,Somme River,22,1,"The Battle of the Somme was one of the largest battles of World War I, marked by its unprecedented scale and the introduction of new military technology.",https://en.wikipedia.org/wiki/Battle_of_the_Somme,7. Industrial Age
The Construction of Göbekli Tepe in Anatolia,the-construction-of-g-bekli-tepe-in-anatolia,-9500,"[37.2236, 38.9225]",architecture & engineering,Agricultural & Neolithic Asia,Asia,,massive stone pillars with intricate carvings; workers using primitive tools; surrounding hilly landscape; early human settlements; ritualistic gatherings,"A highly detailed, photo-realistic image of The Construction of Göbekli Tepe in Anatolia as it might have appeared at the time. The scene includes massive stone pillars with intricate carvings, workers using primitive tools, surrounding hilly landscape, early human settlements, and ritualistic gatherings, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-construction-of-g-bekli-tepe-in-anatolia.jpg,3,AI-generated based on historical records,53606f21-f99a-4564-bb70-d6364ac34550,Turkey,,Göbekli Tepe,245,8,"Göbekli Tepe, located in present-day Turkey, is one of the oldest known monumental structures, dating back to around 9,500 BCE. Its construction marks a significant development in prehistoric architecture and religious practices.",https://en.wikipedia.org/wiki/G%C3%B6bekli_Tepe,3. Late Prehistory
The trial and execution of Louis XVI during the French Revolution,the-trial-and-execution-of-louis-xvi-during-the-french-revolution,1793,"[48.8566, 2.3522]",law & justice,Industrial Revolution,Europe,"Louis XVI, Maximilien Robespierre, Georges Danton",a guillotine in a public square; crowds of revolutionaries; Louis XVI in period clothing; revolutionary banners; Parisian architecture of the 18th century,"A highly detailed, photo-realistic image of The trial and execution of Louis XVI during the French Revolution as it might have appeared at the time. The scene includes a guillotine in a public square, crowds of revolutionaries, Louis XVI in period clothing, revolutionary banners, and Parisian architecture of the 18th century, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-trial-and-execution-of-louis-xvi-during-the-french-revolution.jpg,3,AI-generated based on historical records,7ce6cfc7-6cb2-4b04-9c00-63c6f83c8e4d,France,Paris,Place de la Révolution,21,4,"The execution of Louis XVI marked a pivotal moment in the French Revolution, symbolizing the end of absolute monarchy and the rise of republicanism.",https://en.wikipedia.org/wiki/Louis_XVI,6. Early Modern Era
The 1968 student protests erupt in Paris,the-1968-student-protests-erupt-in-paris,1968,"[48.8566, 2.3522]",social movements & protests,Cold War Europe,Europe,"Daniel Cohn-Bendit, Alain Geismar, Jacques Sauvageot",students marching with banners; barricades on the streets; police in riot gear; graffiti on walls; crowds gathered in the Latin Quarter,"A highly detailed, photo-realistic image of The 1968 student protests erupt in Paris as it might have appeared at the time. The scene includes students marching with banners, barricades on the streets, police in riot gear, graffiti on walls, and crowds gathered in the Latin Quarter, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-1968-student-protests-erupt-in-paris.jpg,3,AI-generated based on historical records,fb823a65-46ae-4537-a288-61ae5822bd0e,France,Paris,Latin Quarter,25,5,"In May 1968, Paris became the epicenter of a massive student-led protest movement that challenged the status quo and sparked widespread social change.",https://en.wikipedia.org/wiki/May_1968_events_in_France,8. 20th Century
The beginning of the First Crusade,the-beginning-of-the-first-crusade,1096,"[41.9028, 12.4964]",religious history,Medieval Europe,Europe,"Pope Urban II, Peter the Hermit, Godfrey of Bouillon",medieval knights preparing for a journey; a large crowd gathered in a European city square; banners and flags with religious symbols; medieval architecture of a European city; clergy addressing the crowd,"A highly detailed, photo-realistic image of The beginning of the First Crusade as it might have appeared at the time. The scene includes medieval knights preparing for a journey, a large crowd gathered in a European city square, banners and flags with religious symbols, medieval architecture of a European city, clergy addressing the crowd, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-beginning-of-the-first-crusade.jpg,3,AI-generated based on historical records,a2ed190a-a808-4fd7-bbca-d3eafd5046fd,Italy,Clermont,Council of Clermont,18,12,"The First Crusade was initiated by Pope Urban II's call to arms at the Council of Clermont, urging Christians to reclaim the Holy Land.",https://en.wikipedia.org/wiki/First_Crusade,5. Middle Ages
The proclamation of the German Empire in the Hall of Mirrors at Versailles,the-proclamation-of-the-german-empire-in-the-hall-of-mirrors-at-versailles,1871,"[48.8049, 2.1204]",foundational political moments,Industrial Revolution,Europe,"Otto von Bismarck, Wilhelm I",Wilhelm I being proclaimed Emperor; Otto von Bismarck in military uniform; the opulent Hall of Mirrors; assembled German princes and military officers; elaborate 19th-century attire,"A highly detailed, photo-realistic image of The proclamation of the German Empire in the Hall of Mirrors at Versailles as it might have appeared at the time. The scene includes Wilhelm I being proclaimed Emperor, Otto von Bismarck in military uniform, the opulent Hall of Mirrors, assembled German princes and military officers, and elaborate 19th-century attire, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-proclamation-of-the-german-empire-in-the-hall-of-mirrors-at-versailles.jpg,3,AI-generated based on historical records,49ab530b-afca-481c-acf3-37a2e0e36274,France,Versailles,Hall of Mirrors,21,2,"In 1871, the German Empire was proclaimed in the Hall of Mirrors at Versailles, marking a pivotal moment in European history and the unification of Germany under Prussian leadership.",https://en.wikipedia.org/wiki/Proclamation_of_the_German_Empire,7. Industrial Age
The Boxer Rebellion erupts in China against foreign influence,the-boxer-rebellion-erupts-in-china-against-foreign-influence,1900,"[39.9042, 116.4074]",wars & battles,Qing Dynasty,Asia,"Empress Dowager Cixi, Prince Duan, Yuan Shikai",Chinese Boxers in traditional martial arts attire; foreign soldiers in late 19th-century military uniforms; Beijing cityscape with historical architecture; smoke and chaos of battle; traditional Chinese weapons and banners,"A highly detailed, photo-realistic image of The Boxer Rebellion erupts in China against foreign influence as it might have appeared at the time. The scene includes Chinese Boxers in traditional martial arts attire, foreign soldiers in late 19th-century military uniforms, Beijing cityscape with historical architecture, smoke and chaos of battle, traditional Chinese weapons and banners, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-boxer-rebellion-erupts-in-china-against-foreign-influence.jpg,3,AI-generated based on historical records,6d124ee7-3fbd-406e-a95c-fb1bf20e1615,China,Beijing,Forbidden City,40,1,"The Boxer Rebellion was a violent anti-foreign, anti-colonial, and anti-Christian uprising that took place in China at the turn of the 20th century, highlighting the tensions between traditional Chinese society and Western influences.",https://en.wikipedia.org/wiki/Boxer_Rebellion,7. Industrial Age
The Battle of Agincourt,the-battle-of-agincourt,1415,"[50.267, 2.778]",wars & battles,Medieval Europe,Europe,"Henry V, Charles d'Albret",English longbowmen in action; French knights charging; muddy battlefield; medieval armor and weapons; forest backdrop,"A highly detailed, photo-realistic image of The Battle of Agincourt as it might have appeared at the time. The scene includes English longbowmen in action, French knights charging, a muddy battlefield, medieval armor and weapons, and a forest backdrop, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-battle-of-agincourt.jpg,3,AI-generated based on historical records,57d064f3-24d2-4c32-8c6f-aa605cf1e61e,France,,Agincourt,18,1,"The Battle of Agincourt was a pivotal English victory during the Hundred Years' War, showcasing the effectiveness of the English longbow against heavily armored French knights.",https://en.wikipedia.org/wiki/Battle_of_Agincourt,5. Middle Ages
The signing of the Camp David Accords between Egypt and Israel,the-signing-of-the-camp-david-accords-between-egypt-and-israel,1978,"[39.0424, -77.4648]",diplomacy & international relations,Modern United States & Canada,Americas,"Anwar Sadat, Menachem Begin, Jimmy Carter","Anwar Sadat shaking hands with Menachem Begin; Jimmy Carter overseeing the signing; conference room setting; documents being signed; flags of Egypt, Israel, and the USA","A highly detailed, photo-realistic image of The signing of the Camp David Accords between Egypt and Israel as it might have appeared at the time. The scene includes Anwar Sadat shaking hands with Menachem Begin, Jimmy Carter overseeing the signing, a conference room setting, documents being signed, and flags of Egypt, Israel, and the USA, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-signing-of-the-camp-david-accords-between-egypt-and-israel.jpg,3,AI-generated based on historical records,611e9aff-abab-42d4-b4cb-e8adee9c9497,United States,,Camp David,201,3,"The Camp David Accords marked a pivotal moment in Middle Eastern diplomacy, leading to a peace treaty between Egypt and Israel.",https://en.wikipedia.org/wiki/Camp_David_Accords,8. 20th Century
The election of Nelson Mandela as President of South Africa,the-election-of-nelson-mandela-as-president-of-south-africa,1994,"[-25.7461, 28.1881]",foundational political moments,Modern Africa,Africa,Nelson Mandela,Nelson Mandela giving a speech; crowds celebrating in the streets; South African flags waving; Union Buildings in Pretoria; traditional African attire,"A highly detailed, photo-realistic image of The election of Nelson Mandela as President of South Africa as it might have appeared at the time. The scene includes Nelson Mandela giving a speech, crowds celebrating in the streets, South African flags waving, Union Buildings in Pretoria, and traditional African attire, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-election-of-nelson-mandela-as-president-of-south-africa.jpg,3,AI-generated based on historical records,a686c536-66b4-4abf-b506-61efeafee97e,South Africa,Pretoria,Union Buildings,29,2,Nelson Mandela's election marked the end of apartheid and the beginning of a new era for South Africa.,https://en.wikipedia.org/wiki/Nelson_Mandela,8. 20th Century
